,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxa_g
OTU1562,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__
OTU1563,k__Bacteria,p__Planctomycetes,c__OM190,o__,f__,g__,s__,k__Bacteria|p__Planctomycetes|c__OM190|o__|f__|g__
OTU15634,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU15661,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__
OTU15669,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Blastocatellales,f__Blastocatellaceae,g__,s__,k__Bacteria|p__Acidobacteria|c__Blastocatellia_Subgroup_4|o__Blastocatellales|f__Blastocatellaceae|g__
OTU1567,k__Bacteria,p__Planctomycetes,c__OM190,o__,f__,g__,s__,k__Bacteria|p__Planctomycetes|c__OM190|o__|f__|g__
OTU1568,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Lineage_IV,f__,g__,s__,k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Lineage_IV|f__|g__
OTU157,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__IMCC26256,f__,g__,s__,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__IMCC26256|f__|g__
OTU1570,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Oceanobacillus,s__Compostibacillus_humi,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus
OTU1571,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Candidatus_Udaeobacter,s__,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Chthoniobacterales|f__Chthoniobacteraceae|g__Candidatus_Udaeobacter
OTU1572,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__
OTU1575,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__S0134_terrestrial_group|o__|f__|g__
OTU1576,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Subgroup_7,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Holophagae|o__Subgroup_7|f__|g__
OTU1579,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__
OTU158,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__Deinococcus_sp,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter
OTU1581,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU15833,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__Gitt-GS-136|o__|f__|g__
OTU1584,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU1585,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas
OTU1586,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Solirubrobacter,s__,k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacter
OTU159,k__Bacteria,p__Chloroflexi,c__OLB14,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__OLB14|o__|f__|g__
OTU1590,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__,k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__A4b|g__
OTU15912,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU1593,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__,g__,s__,k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__|g__
OTU15930,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Dongiales,f__Dongiaceae,g__Dongia,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Dongiales|f__Dongiaceae|g__Dongia
OTU15949,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,s__,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136_group
OTU1595,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__|g__
OTU1596,k__Bacteria,p__WS2,c__,o__,f__,g__,s__,k__Bacteria|p__WS2|c__|o__|f__|g__
OTU15972,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Ellin6067,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Nitrosomonadaceae|g__Ellin6067
OTU1598,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Acidiferrobacterales,f__Acidiferrobacteraceae,g__Sulfurifustis,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae|g__Sulfurifustis
OTU1599,k__Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__JG30-KF-CM66|o__|f__|g__
OTU16,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Steroidobacter,s__bacterium_MI-8,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__Steroidobacter
OTU160,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,s__Pseudoxanthomonas_mexicana,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Pseudoxanthomonas
OTU1600,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__EPR3968-O8a-Bc78,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__EPR3968-O8a-Bc78|f__|g__
OTU1601,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__,k__Bacteria|p__Acidobacteria|c__Blastocatellia_Subgroup_4|o__Pyrinomonadales|f__Pyrinomonadaceae|g__RB41
OTU16013,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus
OTU1604,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__TRA3-20|g__
OTU16073,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Arenimonas
OTU16087,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU161,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Segetibacter
OTU1612,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter
OTU1614,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__|f__|g__
OTU1618,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella,s__,k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiella
OTU1619,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__,k__Bacteria|p__Acidobacteria|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup_10
OTU162,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__,g__,s__,k__Bacteria|p__Rokubacteria|c__NC10|o__Rokubacteriales|f__|g__
OTU1621,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus
OTU1622,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__,f__,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__|f__|g__
OTU1626,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3,g__Bryobacter,s__,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Solibacterales|f__Solibacteraceae_Subgroup_3|g__Bryobacter
OTU1628,k__Bacteria,p__Armatimonadetes,c__,o__,f__,g__,s__,k__Bacteria|p__Armatimonadetes|c__|o__|f__|g__
OTU163,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SC-I-84,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__SC-I-84|g__
OTU1632,k__Bacteria,p__Chloroflexi,c__KD4-96,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__KD4-96|o__|f__|g__
OTU16328,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ochrobactrum,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Ochrobactrum
OTU1633,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__
OTU1634,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Haliangiaceae|g__Haliangium
OTU1635,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Longimicrobia|o__Longimicrobiales|f__Longimicrobiaceae|g__
OTU1637,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia
OTU164,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Dubosiella,s__,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella
OTU1640,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__A21b,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__A21b|g__
OTU1643,k__Bacteria,p__Acidobacteria,c__Subgroup_22,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_22|o__|f__|g__
OTU1644,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__,g__,s__,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__|f__|g__
OTU1645,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__,k__Bacteria|p__Acidobacteria|c__Blastocatellia_Subgroup_4|o__Pyrinomonadales|f__Pyrinomonadaceae|g__RB41
OTU1646,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__,k__Bacteria|p__Acidobacteria|c__Blastocatellia_Subgroup_4|o__Pyrinomonadales|f__Pyrinomonadaceae|g__RB41
OTU16468,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU1647,k__Bacteria,p__Gemmatimonadetes,c__AKAU4049,o__,f__,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__AKAU4049|o__|f__|g__
OTU16472,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Tistrellales|f__Geminicoccaceae|g__
OTU1648,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NB1-j,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__NB1-j|f__|g__
OTU16488,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium
OTU165,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Steroidobacter,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__Steroidobacter
OTU1651,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter
OTU16519,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU1653,k__Bacteria,p__Planctomycetes,c__OM190,o__,f__,g__,s__,k__Bacteria|p__Planctomycetes|c__OM190|o__|f__|g__
OTU16534,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU16574,k__Bacteria,p__Gemmatimonadetes,c__BD2-11_terrestrial_group,o__,f__,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__BD2-11_terrestrial_group|o__|f__|g__
OTU16581,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU1659,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Phaselicystidaceae,g__Phaselicystis,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Phaselicystidaceae|g__Phaselicystis
OTU166,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Cavicella,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Cavicella
OTU16601,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Rubritaleaceae|g__Luteolibacter
OTU1663,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales|f__Bdellovibrionaceae|g__OM27_clade
OTU167,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter
OTU16740,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus
OTU1678,k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__,s__,k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__
OTU168,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU1683,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU1684,k__Bacteria,p__Chloroflexi,c__P2-11E,o__,f__,g__,s__,k__Bacteria|p__Chloroflexi|c__P2-11E|o__|f__|g__
OTU1685,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__HIMB11,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__HIMB11
OTU169,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodovibrionales,f__Kiloniellaceae,g__Pelagibius,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodovibrionales|f__Kiloniellaceae|g__Pelagibius
OTU1690,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__
OTU16903,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Aquamicrobium,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Aquamicrobium
OTU1696,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__TRA3-20|g__
OTU17,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Variovorax,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Variovorax
OTU170,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Tistrellales|f__Geminicoccaceae|g__
OTU1701,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Nannocystaceae,g__Nannocystis,s__Nannocystis_sp,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Nannocystaceae|g__Nannocystis
OTU1702,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3,g__PAUC26f,s__,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Solibacterales|f__Solibacteraceae_Subgroup_3|g__PAUC26f
OTU1703,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas
OTU1704,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__,s__,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__
OTU17081,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU1709,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__
OTU171,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Noviherbaspirillum,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Noviherbaspirillum
OTU1712,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Nannocystaceae,g__,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Nannocystaceae|g__
OTU1713,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Haliangiaceae|g__Haliangium
OTU1715,k__Bacteria,p__,c__,o__,f__,g__,s__,k__Bacteria|p__|c__|o__|f__|g__
OTU17154,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Steroidobacter,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__Steroidobacter
OTU1717,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus
OTU1718,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus
OTU172,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__
OTU1720,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Iamiaceae,g__Iamia,s__,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae|g__Iamia
OTU17206,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__
OTU1723,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Geodermatophilaceae,g__Geodermatophilus,s__,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae|g__Geodermatophilus
OTU1724,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Tahibacter,s__,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Tahibacter
OTU17264,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__,k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__
OTU17269,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Iamiaceae,g__Iamia,s__,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae|g__Iamia
OTU17274,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__,s__,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__
OTU17298,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__
OTU173,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__Reyranella,s__,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae|g__Reyranella
OTU1731,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__,s__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__
OTU1733,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__|g__
OTU1734,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__,s__,k__Bacteria|p__Gemmatimonadetes|c__Longimicrobia|o__Longimicrobiales|f__Longimicrobiaceae|g__
OTU1736,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Haliangiaceae|g__Haliangium
OTU174,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__anaerobic_bacterium_MO-CFX2,g__,s__,k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__anaerobic_bacterium_MO-CFX2|g__
OTU17409,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__,g__,s__,k__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales|f__|g__
OTU1743,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__IMCC26256,f__,g__,s__,k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__IMCC26256|f__|g__
